Question,Choices,answer
四角形剪去一角後，還有幾個角？,"三個,四個 ,五個,六個",三個
金庸是知名作家，以下哪本不是金庸小說,"書劍恩仇錄,俠客行,流星蝴蝶劍,鹿鼎記",流星蝴蝶劍
航海王中，魯夫的夥伴「喬巴」是何種動物,"牛,馬,鹿 ,羊",鹿
哪一個星座，不屬於「水象星座」呢？,"巨蟹座,雙魚座,水瓶座,天蠍座",水瓶座
汗牛充棟是什麼意思？,"剛運動完，流很多汗,藏書非常多,知識豐富,財富滿滿",藏書非常多
人稱「數學小王子」，請問是下列何人,"牛頓,愛因斯坦,高斯,畢達哥拉斯",高斯
唐宋八大家，又稱唐宋古文八大家，請問下列何人,"曾鞏,歐陽修,范仲淹,韓愈",范仲淹
「挪威的森林」是哪位作家的作品,"村上春樹,九把刀,藤井樹,夏目漱石",村上春樹
四川名菜「麻婆豆腐」名稱的由來，是因為發明者,"臉上有痲子,專種花椒香料,老公就姓麻,婆婆很壞心",臉上有痲子
台灣本島面積最大的「縣」是花蓮，最小的縣是？,"雲林縣,新竹縣 ,嘉義縣,彰化縣",彰化縣
「Iiha Formosa」意思是美麗之島，也是哪一國人初見台灣時所說的話？,"荷蘭,西班牙,葡萄牙,德國",葡萄牙
下列哪一種水果又稱「西紅柿」？,"蕃茄,蓮霧,草莓 ,釋迦",蕃茄
200年前，台灣最繁華的地方是「一府」、「二鹿」、「三艋舺」，請問「一府」指的是現今何處？,"高雄,台中,台南,彰化",台南
「三姑六婆」原指中國女性的什麼？,"稱謂,地位,職業,年紀",職業
「鋤禾日當午，汗滴禾下土」裡的「午」，指的是什麼時間？,"中午11點到下午1點,中午12點到下午2點,下午1點到下午3點,下午3點到下午5點",中午11點到下午1點
小白兔的眼睛是紅色的，是因為小白兔,"紅蘿蔔吃太多,眼球內血液的顏色,體內分泌膽紅素,他害羞",眼球內血液的顏色
為什麼天冷時，人會吐出白煙？,"氧氣轉化成熱能,體內水氣轉化成水滴,二氧化碳接觸冷空氣,有魔法",體內水氣轉化成水滴
太陽系中，最大的行星是？,"天王星,木星,土星,地球",木星
排放大量的CO2對地球人類最直接的環境問題是什麼？,"地球溫度變高,沙漠縮小,北極冰層融化變慢,酸雨",地球溫度變高
鯊魚需要一直游泳，因為如果牠停止游泳，會發生什麼事？,"得憂鬱症,浮上水面,停止呼吸,打瞌睡",停止呼吸
"中國古代歷史上有許多殘酷的刑罰，我們常常聽到「凌遲處死」。請問：「凌遲」指的是下列哪種酷刑？
","剝皮灌水銀,用小火慢慢烹煮 ,將肉一片一片割下來,凌晨時處死",將肉一片一片割下來
「在天願做比翼鳥，在地願做連理枝」是出自哪對戀人的故事？,"牛郎與織女,梁山伯與祝英台,唐玄宗與楊貴妃,后羿和嫦娥",唐玄宗與楊貴妃
「爽」字表示愉悅，「爽」字從象形來看，所描繪的形象是？,"樹上有花,腋下有火,桌上有菜,屋下有人",腋下有火
我們都知道星期一到星期天一共有七天，稱為一週，那這個星期制是由哪個民族發展出來？,"巴比倫人,馬雅人,印度人,中國人",巴比倫人
"文藝復興時期巨匠達文西作品《最後的晚餐》，是取自於聖經的題材。請問：12個門徒為何坐立難安？
","信徒中有人不合,因為尊敬耶穌而惶恐,因為用餐時間太久,因為正在議論紛紛誰是背叛者",因為正在議論紛紛誰是背叛者
八佾舞為下列何種慶典中所用,"祭孔大典 ,七夕七娘媽,中元普渡,端午節",祭孔大典
全世界最小的國家「梵諦岡」在那個城市境內？,"紐約,羅馬,倫敦,巴黎",羅馬
印度的大吉嶺和阿薩姆盛產哪項世界知名農作物？,"咖啡,紅茶,香料,高粱",紅茶
台灣之光林書豪現在效力於哪一隊NBA球隊呢？,"休士頓火箭隊,洛杉磯湖人隊,紐約尼克隊,金州勇士隊",洛杉磯湖人隊
下列四條跆拳道腰帶中，哪一條段數最高？,"紅帶,藍紅帶,白帶,綠帶",紅帶
"由荷蘭設計師霍夫曼設計的巨大黃色鴨子，是一個名為「Rubber Duck Project」的企劃。請問：黃色小鴨的主要使命是什麼？
","宣揚荷蘭藝術,祈求世界和平,陪伴設計師環遊世界,廣告宣傳",祈求世界和平
為什麼噴了防蚊液，蚊子就不會靠近？,"使體溫降低,味道掩蓋人的氣味 ,味道像蚊子同類,形成防護膜口器無法插入",味道掩蓋人的氣味 
人類的糞便中，成分佔最大比例的是？,"水分,蛋白質,食物纖維,壞死細菌",水分
人體中哪個部位不會隨著年齡長大呢？,"鼻子,耳朵,眼球,心臟",眼球
下列哪種生物是魚類動物？,"甲魚,蝌蚪,海馬,娃娃魚",海馬
成語「夜郎自大」中的「夜郎」指的是？,"人名,地名,國名,官名",國名
孕育古埃及文明的「尼羅河」，最後注入哪一座海？,"地中海,紅海,愛琴海,黃海",地中海
「四眼田雞」也就是近視眼，造成近視眼的原因是眼球前後軸 ,"變長,變短,彎曲,不變",變長
黑白色的大貓熊，牠的尾巴是什麼顏色？ ,"白色,黑色,有黑有白不一定,橘色",白色
熱豆漿冷卻後會有一層薄膜，那就是所謂的？,"膽固醇,蛋白質,脂肪,二氧化碳",蛋白質